sep=,
"Time","k6_checks_rate"
2025-09-13 22:21:45,99.3 %
2025-09-13 22:22:00,99.3 %
2025-09-13 22:22:15,99.3 %
2025-09-13 22:22:30,99.3 %
2025-09-13 22:22:45,99.3 %
2025-09-13 22:23:00,99.3 %
2025-09-13 22:23:15,99.3 %
2025-09-13 22:23:30,99.3 %
2025-09-13 22:23:45,99.3 %
2025-09-13 22:24:00,99.3 %
2025-09-13 22:24:15,99.3 %
2025-09-13 22:24:30,99.3 %
2025-09-13 22:24:45,99.3 %
2025-09-13 22:25:00,99.3 %
2025-09-13 22:25:15,99.3 %
2025-09-13 22:25:30,99.3 %
2025-09-13 22:25:45,99.3 %
2025-09-13 22:26:00,99.3 %
2025-09-13 22:26:15,99.3 %
2025-09-13 22:26:30,99.3 %
2025-09-13 22:26:45,99.3 %
2025-09-13 22:27:00,99.3 %
2025-09-13 22:27:15,99.3 %
2025-09-13 22:27:30,99.3 %
2025-09-13 22:27:45,99.3 %
2025-09-13 22:28:00,99.3 %
2025-09-13 22:28:15,99.3 %
2025-09-13 22:28:30,99.3 %
2025-09-13 22:28:45,99.3 %
2025-09-13 22:29:00,99.3 %
2025-09-13 22:29:15,99.3 %
2025-09-13 22:29:30,99.3 %
2025-09-13 22:29:45,99.3 %
2025-09-13 22:30:00,99.3 %
2025-09-13 22:30:15,99.3 %
2025-09-13 22:30:30,99.3 %
2025-09-13 22:30:45,99.3 %
2025-09-13 22:31:00,99.3 %
2025-09-13 22:31:15,99.3 %
2025-09-13 22:31:30,99.3 %
2025-09-13 22:31:45,99.3 %
2025-09-13 22:32:00,99.3 %
2025-09-13 22:32:15,99.3 %
2025-09-13 22:32:30,99.3 %
2025-09-13 22:32:45,99.3 %
2025-09-13 22:33:00,99.3 %
2025-09-13 22:33:15,99.3 %
2025-09-13 22:33:30,99.3 %
2025-09-13 22:33:45,99.3 %
2025-09-13 22:34:00,99.3 %
2025-09-13 22:34:15,99.3 %
2025-09-13 22:34:30,99.6 %
2025-09-13 22:34:45,99.6 %
2025-09-13 22:35:00,99.6 %
2025-09-13 22:35:15,99.6 %
2025-09-13 22:35:30,99.7 %
2025-09-13 22:35:45,99.7 %
2025-09-13 22:36:00,97.3 %
2025-09-13 22:36:15,97 %
2025-09-13 22:36:30,94.7 %
2025-09-13 22:36:45,95.3 %
2025-09-13 22:37:00,97.7 %
2025-09-13 22:37:15,98.7 %
2025-09-13 22:37:30,99.0 %
2025-09-13 22:37:45,99.0 %
2025-09-13 22:38:00,99.0 %
2025-09-13 22:38:15,99.1 %
2025-09-13 22:38:30,98.7 %
2025-09-13 22:38:45,98.7 %
2025-09-13 22:39:00,98.7 %
2025-09-13 22:39:15,98 %
2025-09-13 22:39:30,98 %
2025-09-13 22:39:45,98 %
2025-09-13 22:40:00,98 %
2025-09-13 22:40:15,98 %
2025-09-13 22:40:30,98 %
2025-09-13 22:40:45,98 %
2025-09-13 22:41:00,98 %
2025-09-13 22:41:15,98 %
2025-09-13 22:41:30,98.8 %
2025-09-13 22:41:45,99.0 %
2025-09-13 22:42:00,99 %
2025-09-13 22:42:15,99 %
2025-09-13 22:42:30,99 %
2025-09-13 22:42:45,99 %
2025-09-13 22:43:00,99 %
2025-09-13 22:43:15,99 %
2025-09-13 22:43:30,99 %
2025-09-13 22:43:45,99 %
2025-09-13 22:44:00,99 %
2025-09-13 22:44:15,99.0 %
2025-09-13 22:44:30,99.0 %
2025-09-13 22:44:45,99.3 %
2025-09-13 22:45:00,100 %
2025-09-13 22:45:15,100 %
2025-09-13 22:45:30,100 %
2025-09-13 22:45:45,100 %
2025-09-13 22:46:00,100 %
2025-09-13 22:46:15,100 %
2025-09-13 22:46:30,100 %
2025-09-13 22:46:45,100 %
2025-09-13 22:47:00,100 %
2025-09-13 22:47:15,100 %
2025-09-13 22:47:30,100 %
2025-09-13 22:47:45,100 %
2025-09-13 22:48:00,100 %
2025-09-13 22:48:15,100 %
2025-09-13 22:48:30,100 %
2025-09-13 22:48:45,100 %
2025-09-13 22:49:00,100 %
2025-09-13 22:49:15,100 %
2025-09-13 22:49:30,100 %
2025-09-13 22:49:45,100 %
2025-09-13 22:50:00,100 %
2025-09-13 22:50:15,100 %
